import time: self [us] | cumulative | imported package
import time:       156 |        156 | zipimport
import time:       612 |        612 | _frozen_importlib_external
import time:        57 |         57 |     _codecs
import time:       553 |        609 |   codecs
import time:       499 |        499 |   encodings.aliases
import time:       928 |       2035 | encodings
import time:       229 |        229 | encodings.utf_8
import time:       101 |        101 | _signal
import time:       312 |        312 | encodings.latin_1
import time:        45 |         45 |     _abc
import time:       310 |        355 |   abc
import time:       297 |        652 | io
import time:        68 |         68 |   _locale
import time:       198 |        266 | _bootlocale
import time:        59 |         59 |       _stat
import time:       239 |        298 |     stat
import time:       201 |        201 |       genericpath
import time:       331 |        531 |     posixpath
import time:       930 |        930 |     _collections_abc
import time:       563 |       2321 |   os
import time:       235 |        235 |   _sitebuiltins
import time:       308 |        308 |   types
import time:       361 |        361 |       warnings
import time:       245 |        605 |     importlib
import time:       202 |        202 |       importlib.machinery
import time:       483 |        684 |     importlib.abc
import time:        73 |         73 |           _operator
import time:       734 |        806 |         operator
import time:       220 |        220 |         keyword
import time:       560 |        560 |           _heapq
import time:       238 |        797 |         heapq
import time:        97 |         97 |         itertools
import time:       250 |        250 |         reprlib
import time:        66 |         66 |         _collections
import time:       869 |       3103 |       collections
import time:        56 |         56 |         _functools
import time:       555 |        610 |       functools
import time:       532 |       4244 |     contextlib
import time:       452 |       5984 |   importlib.util
import time:       316 |        316 |     encodings.cp437
import time:      1896 |       2212 |   sitecustomize
import time:       299 |        299 |   usercustomize
import time:      2630 |      13985 | site
import time:       253 |        253 |   __future__
import time:       332 |        332 |       numpy._globals
import time:       190 |        190 |       numpy.__config__
import time:       178 |        178 |       numpy.version
import time:       277 |        277 |       numpy._import_tools
import time:       582 |        582 |           math
import time:       318 |        318 |           numpy.lib.info
import time:       314 |        314 |                 numpy.core.info
import time:       676 |        676 |                     time
import time:       665 |        665 |                     _datetime
import time:      1099 |       2439 |                   datetime
import time:      2226 |       4665 |                 numpy.core.multiarray
import time:      1395 |       1395 |                 numpy.core.umath
import time:       868 |        868 |                     enum
import time:        69 |         69 |                       _sre
import time:       411 |        411 |                         sre_constants
import time:       423 |        833 |                       sre_parse
import time:       370 |       1270 |                     sre_compile
import time:       246 |        246 |                     copyreg
import time:       640 |       3023 |                   re
import time:       294 |        294 |                     numpy.compat._inspect
import time:       376 |        376 |                         fnmatch
import time:       399 |        399 |                           nt
import time:       318 |        318 |                           nt
import time:       310 |        310 |                           nt
import time:       407 |       1433 |                         ntpath
import time:        83 |         83 |                         errno
import time:       215 |        215 |                           urllib
import time:      1081 |       1295 |                         urllib.parse
import time:       862 |       4047 |                       pathlib
import time:       230 |       4277 |                     numpy.compat.py3k
import time:       276 |       4846 |                   numpy.compat
import time:      1540 |       1540 |                     _ctypes
import time:       466 |        466 |                       _struct
import time:       268 |        733 |                     struct
import time:       332 |        332 |                     ctypes._endian
import time:       963 |       3567 |                   ctypes
import time:       414 |        414 |                     numbers
import time:       985 |       1399 |                   numpy.core.numerictypes
import time:      1023 |      13855 |                 numpy.core._internal
import time:       292 |        292 |                   collections.abc
import time:       413 |        413 |                     _compat_pickle
import time:       353 |        353 |                         org
import time:        23 |        375 |                       org.python
import time:        26 |        401 |                     org.python.core
import time:       540 |        540 |                     _pickle
import time:       847 |       2199 |                   pickle
import time:       299 |        299 |                     numpy.core._methods
import time:       460 |        758 |                   numpy.core.fromnumeric
import time:       607 |        607 |                   numpy.core.arrayprint
import time:       789 |       4643 |                 numpy.core.numeric
import time:       505 |        505 |                 numpy.core.defchararray
import time:       406 |        406 |                 numpy.core.records
import time:       345 |        345 |                 numpy.core.memmap
import time:       272 |        272 |                 numpy.core.function_base
import time:       222 |        222 |                 numpy.core.machar
import time:       813 |        813 |                 numpy.core.getlimits
